fips,Total Households,0-10k,10-15k,15-20k,20-25k,25-30k,30-35k,35-40k,40-45k,45-50k,50-60k,60-75k,75-100k,100-125k,125-150k,150-200k,200k+
8003,29242,2577,3516,3885,4169,3232,2121,2159,2082,1636,2602,3101,2928,3608,1635,5229,20724
8002,20051,1191,2174,2623,3155,2332,1535,1621,1563,1136,1967,2556,2604,1817,1065,1693,15655
8050,9836,897,1097,1111,1271,975,951,810,619,1279,921,1111,875,657,542,1064,6640
8047,18328,1591,1842,2257,2595,1658,1152,1089,1062,1067,1348,1691,1672,1330,855,1505,12560
8093,10988,785,1210,1464,1661,881,754,757,554,486,1008,1182,1223,533,381,411,7934
8095,6967,563,820,909,833,543,491,510,300,297,635,618,612,332,275,345,4742
8037,23177,1531,2460,3132,3845,2716,1793,1752,2155,1249,2188,2663,2983,2880,988,3491,17487
8117,12817,979,1328,1645,1882,1205,951,988,978,727,1062,1357,1321,1018,572,991,9429
8107,17645,1336,1939,2369,2341,1278,1165,923,1227,722,1456,1676,1727,748,468,824,12152
8057,1071,101,119,78,125,81,56,62,32,35,73,48,43,22,15,31,644
8019,14786,870,1226,1580,2042,1781,1234,1367,1377,490,978,1312,1611,1320,800,1035,12075
8049,7058,583,808,820,850,562,422,464,524,332,630,629,553,390,151,312,4936
8065,3926,347,451,553,385,380,336,329,300,227,258,327,146,518,150,888,2247
8004,13184,1015,1628,2117,2166,1430,1072,971,872,992,1287,1869,1465,1919,647,3036,8716
8087,13560,1397,1604,1680,1529,1212,825,882,844,618,944,765,564,1367,321,2141,7901
8187,7464,794,913,963,903,715,449,457,502,362,558,402,316,858,207,1401,4296
8121,8314,778,918,893,820,689,474,512,400,288,467,422,333,471,101,682,4888
8075,13516,1335,1403,1630,1255,843,777,631,672,470,730,867,527,482,225,744,8213
8125,12270,1281,1405,1372,1144,775,693,707,499,434,827,652,464,471,185,800,7337
8115,1866,160,222,192,197,120,130,96,61,56,85,72,43,68,43,101,1072
8017,1353,151,155,144,119,85,78,68,77,49,93,88,42,67,22,59,846
8073,4286,417,480,432,403,340,262,195,191,146,275,227,188,114,69,142,2603
8063,4797,509,602,529,489,306,267,250,198,202,302,265,211,270,73,306,2988
8119,11548,840,1093,1456,1680,1030,783,690,647,602,917,1042,1156,556,415,356,8125
8101,99600,10760,11825,12122,11120,7929,6172,5951,5460,6696,7351,6496,4834,8856,4356,22227,54261
8043,30986,3038,3222,3498,3019,2167,1604,1447,1577,1153,1718,1793,1407,837,645,1435,18462
8071,12607,1656,1396,1575,1116,827,689,602,552,507,793,649,373,997,548,3299,6228
8061,1542,157,168,165,132,100,113,57,80,54,76,70,53,68,32,50,929
8027,6752,703,707,699,669,441,398,294,345,260,411,376,318,177,136,352,4030
8009,5489,761,606,601,454,313,277,301,226,204,255,255,146,221,180,593,3062
8089,11217,1409,1576,1292,1165,698,760,576,441,534,756,717,356,1207,401,2774,6073
8025,3975,463,482,351,398,265,257,157,158,98,229,153,134,196,81,522,2169
8099,7637,964,923,964,757,685,477,392,437,309,470,358,235,890,235,1495,4240
8011,15914,1975,2199,1960,1647,1302,1041,847,810,720,1061,894,469,2011,632,3901,8711
8021,10405,1606,1372,1424,1027,957,591,548,531,534,665,585,334,1723,606,4071,5343
8007,5644,555,577,642,588,418,322,386,414,279,368,379,264,427,169,659,3507
8067,26290,2420,2841,3025,3326,1911,1720,1531,1450,1009,2373,1906,1894,1448,832,2070,16968
8023,2416,372,344,315,212,189,154,113,86,79,117,103,61,425,202,1217,1071
8105,8373,1259,1220,1081,1048,690,635,550,536,444,588,428,346,1574,487,3178,4473
8109,3130,433,438,354,332,278,220,144,165,125,166,115,86,506,170,943,1683
8079,590,58,52,62,59,35,40,32,24,27,27,34,26,10,6,5,361
8015,16140,1613,1579,1717,1635,1070,893,869,824,482,947,914,734,497,352,671,9793
8051,14814,1333,1500,1725,1976,1252,925,829,911,654,1101,1242,1283,870,398,1088,9947
8085,27287,2840,3181,2870,2927,1918,1600,1317,1491,1171,1788,1329,1296,1325,538,2247,16079
8053,544,47,67,35,28,53,25,38,43,25,35,25,8,5,5,15,346
8111,18384,1626,1947,2074,2324,1297,1263,1121,972,661,1377,1320,1367,988,600,1372,12011
8033,3943,427,448,381,376,292,243,172,173,123,254,201,146,131,76,156,2396
8083,13090,1392,1469,1366,1353,1039,762,682,611,469,1523,870,558,730,381,1042,7895
8113,5099,457,489,566,555,420,313,315,416,194,354,382,360,284,86,233,3565
8091,17274,1613,2100,1748,1873,1253,1082,834,1054,760,1223,943,978,827,342,1247,10585
8029,20215,2108,2071,2412,2043,1375,1088,1047,936,685,1187,1068,773,762,375,1316,11799
8077,69809,6410,7847,7702,7053,5144,4106,3941,3428,2792,4632,4065,3316,2654,1395,4378,42616
8045,43688,4200,4873,4964,5428,3279,2653,2482,2361,1956,3213,3206,2931,2505,1089,3858,27250
8103,15445,1283,1751,1846,1875,1293,1029,1032,886,649,1270,1328,1092,903,360,1211,10001
8081,9513,842,1095,1280,1121,570,526,372,598,333,721,848,677,247,131,506,5932
8097,15878,1145,1455,2080,2427,1445,1114,1061,1594,705,1229,1768,1864,1314,532,1542,11961
8307,3104,217,353,400,397,366,217,258,224,146,303,350,290,237,144,258,2380
56021,60607,5969,6809,7066,6925,4370,3571,3089,3211,3319,4379,4477,3681,2508,1411,4202,37786
56001,15883,1781,1724,1753,1506,854,819,699,713,537,940,1024,663,379,261,601,9519
56029,25379,2066,2879,3161,2751,1751,1293,1457,1298,871,1733,1904,1565,801,454,904,16001
56015,12667,1183,1521,1390,1140,639,692,571,701,345,779,691,519,305,219,502,7534
56031,5969,500,694,687,602,320,386,212,301,150,389,374,261,117,97,179,3580
56027,1714,172,177,175,152,97,118,58,65,37,71,69,67,27,19,10,1002
56009,6951,742,904,903,665,487,318,328,320,248,609,588,421,332,97,283,4472
56007,8946,1018,1030,1020,862,650,461,500,414,508,648,614,385,516,245,871,5476
56037,24377,2022,3142,3393,2941,1976,1360,1342,1319,1248,2271,2282,1912,1569,755,2000,15937
56013,18692,1817,1865,2223,1748,1334,1096,991,1039,612,2763,1616,945,611,579,768,11357
56043,24439,2162,2961,3284,2728,1837,1260,1263,1354,1177,1943,1975,1654,1187,630,1305,15753
56003,6863,700,792,651,640,414,419,331,347,262,397,319,263,173,111,220,4108
56017,3456,327,333,418,316,247,127,168,144,95,157,221,143,63,39,53,2033
56025,40698,3714,4555,4754,4285,2849,2393,1987,1910,1598,2710,2956,2311,1269,663,1325,25499
56019,4737,455,474,529,429,323,293,169,248,158,241,340,181,62,106,88,2899
56045,4223,411,453,494,375,351,213,172,145,142,250,267,172,106,69,49,2586
56011,3734,413,414,382,396,229,184,123,184,149,194,222,208,92,34,17,2327
56005,11172,1143,1312,1439,1317,678,609,502,552,502,986,1005,843,327,180,215,7398
56023,22978,2042,2340,2738,2411,1347,1341,1147,1107,826,1385,1524,1288,517,309,400,14374
56033,17787,1655,1771,2150,1774,1059,978,820,846,564,1007,1129,850,438,251,312,11015
56035,3654,313,406,422,343,240,233,177,200,144,257,253,187,72,61,80,2324
56041,9792,805,1248,1532,1153,643,389,484,541,430,872,1022,744,353,190,323,6549
56039,9998,601,1040,1424,1238,867,692,525,1092,391,833,1147,807,586,287,462,7718
16005,40474,4151,4679,4500,4364,2709,2432,1969,1996,1657,3637,3066,2464,1438,1122,1500,25658
16011,28487,2941,3278,3510,3267,2239,1883,1601,1483,1220,3156,2291,1714,1679,686,2259,17772
16077,13400,1332,1569,1469,1313,952,806,642,628,452,948,768,692,595,377,780,8221
16001,146710,11698,15208,18216,18707,12442,9442,8512,8649,6344,10704,13166,11625,7009,4312,6095,99117
16076,3080,360,276,408,342,195,221,161,139,141,120,158,127,184,29,352,1757
16055,55579,5057,5953,5804,5506,3755,3402,3053,2839,2230,3793,3556,2660,1192,956,957,34818
16023,1833,202,211,187,157,159,77,78,93,71,91,105,74,70,31,79,1136
16029,3964,407,383,493,390,296,183,184,208,186,238,311,178,144,48,102,2509
16007,5905,580,574,653,604,436,325,241,298,259,332,439,260,166,56,109,3667
16037,7120,687,682,742,789,568,408,412,519,243,385,410,409,332,189,343,4764
16059,7156,709,850,643,535,453,357,376,323,176,365,242,223,126,126,99,4213
16041,6811,543,796,695,595,443,548,431,311,269,455,355,286,189,75,208,4194
16044,314,11,19,23,28,36,18,27,18,4,9,14,13,2,0,6,178
16071,2348,245,291,208,169,144,153,137,100,130,145,113,47,42,6,27,1431
16019,52048,4670,5623,6416,6131,3857,3042,2585,3096,2183,3748,4134,3473,2297,1071,2263,33837
16081,27893,2620,3150,3011,2759,1873,1448,1734,1404,1053,1882,1484,1237,953,490,1328,17057
16083,38479,3722,4511,4144,3600,2534,2180,2235,1837,1464,2596,1988,1485,1232,819,1950,23206
16073,6467,763,797,788,721,478,395,379,295,234,341,336,248,598,186,860,3828
