fips,Total,Cash,0-100,100-150,150-200,200-250,250-300,300-350,350-400,400-450,450-500,500-550,550-600,600-650,650-700,700-750,750-800,800-900,900-1000,1000-1250,1250-1500,1500-2000,2000+,No Cash,Median,Aggregate
40135,1171373,26228,239325,4113,2238,11204,87530,21915,749147,2527,301,367,383,304,330,626,3076,4225,5037,1082,1098,2061,5032,3224,127773,83659
40061,323045,2842,36145,15,34,1620,21149,12233,236517,991,134,159,132,105,84,243,1952,1452,2338,254,131,638,2490,1387,35827,26448
40127,446012,2016,41907,2676,58,29040,22769,57951,270622,1201,155,272,196,143,195,325,3785,1999,3408,2199,254,629,3270,942,50689,30271
40023,705405,84793,97946,117,139,1175,41103,5663,452149,1826,246,218,270,237,144,494,3114,3447,4850,580,559,690,3983,1662,76208,50549
40005,555581,33204,63831,2156,63,6132,31352,9633,385829,1561,170,262,185,155,202,405,4305,3296,4100,1582,308,1083,4305,1462,59614,43129
40063,555900,46663,94919,4737,540,3351,32981,15273,337060,1394,129,217,180,127,115,447,3514,2452,4009,1030,849,683,3198,2032,60346,37668
40077,477989,4511,97471,2306,33,2257,36706,6667,308530,1415,169,179,183,145,132,446,2562,2284,3527,2015,220,948,3726,1557,51429,34500
40079,1448655,11527,138787,9139,150,44769,89758,98017,1009662,3373,340,718,520,363,497,780,6681,5099,9253,2858,563,2774,9103,3924,161570,112759
40071,2271352,74655,175691,20406,318,44608,93986,83965,1734007,4651,460,885,794,570,625,841,3969,6509,7214,2973,736,2265,7807,3417,250897,193483
40089,872156,121422,144274,1042,177,19667,34631,44297,477383,2079,265,356,274,228,253,684,4301,3822,5028,1693,827,1563,5158,2732,94993,53381
40133,1228398,80476,223992,10286,131,8091,50500,23123,799862,2783,315,431,359,331,284,762,3908,4506,6028,1910,556,2373,4914,2477,133978,89322
48113,344641244,61828568,1748229,14654065,189435,29444904,7609022,64251381,162420911,295370,44492,170715,69337,64022,101996,44172,97018,314609,400568,198689,202621,120198,276857,94065,41498208,18094227
48085,51912335,3920323,266019,3446807,49517,2645075,1344630,6073814,33764195,48907,7951,22081,12088,10098,11475,5753,21818,61316,62921,30026,16038,19536,53641,18306,6064120,3759347
48121,50619246,3878131,293159,2228470,34974,2729486,1033676,5790891,34199353,54200,7696,20534,11558,10652,11680,6711,23742,65921,72348,26689,14979,21795,61647,20954,5884825,3808497
48181,4578215,421888,68359,29486,2879,153522,119459,290489,3417022,7587,814,1837,1046,1256,1195,1468,8070,10366,11036,4459,2730,4557,13059,5631,511829,380995
48012,1013520,44405,0,22418,33,29636,15138,48039,842438,831,118,380,268,191,244,147,1154,1969,955,1497,88,800,1994,777,113492,93755
48397,3656684,205480,25634,60756,503,162740,41318,275128,2836262,4354,631,1633,1096,681,852,560,5017,8109,5907,5694,731,3807,6077,3714,413163,315880
48773,4252492,347510,49338,438246,607,754807,122952,1270879,1235700,2923,511,2849,742,727,1924,777,1168,3880,5226,3411,2502,2109,2651,1053,519267,137767
48439,156396894,21848003,1195787,4458398,224132,11682706,3751201,24245192,87638280,166413,20965,73950,36023,30959,46319,24049,56473,189505,227783,97212,89614,64184,175182,54564,18451606,9765210
48257,4159077,545030,22115,7589,952,287752,28739,453789,2754666,5996,563,1734,1008,955,1125,1221,4943,9077,9412,3333,1829,4521,7893,4835,472554,307074
48231,3060090,584618,41054,44801,675,129087,56066,242726,1908927,4662,559,1227,672,605,802,785,4605,9074,7662,4073,1901,4292,6985,4232,343410,212910
48139,11715414,2391558,72324,85509,10375,843432,202772,1698290,6265014,13302,1880,5511,2722,2327,3337,2279,13209,21886,22178,9545,7281,11453,17653,11577,1370043,698344
48349,2394225,472408,16315,28112,10706,250184,39917,366297,1162726,3139,320,1289,523,494,957,744,7895,7008,5045,2147,2989,4170,6146,4694,271908,129733
48467,3062853,227958,30921,7031,6693,80642,61740,243344,2343062,6157,571,1477,817,845,871,1415,5522,9379,9701,3155,1946,5298,8462,5846,349468,261400
48239,7360646,1499291,45639,118714,19476,642709,171368,1296856,3484260,8182,1071,4297,1590,1593,2509,1410,5578,9883,12320,5998,7740,5294,9800,5068,873898,388544
48213,6841886,1071111,32984,62823,7298,382157,131228,743775,4322171,10067,1069,2943,1524,1471,1878,1881,7332,14051,13242,4947,4105,4349,12584,6896,788095,481911
48297,2553441,131390,15926,599,520,335379,45334,972573,1001164,4352,533,3581,906,766,1764,909,4512,5492,8705,3606,2123,4549,4849,3909,345205,111995
48357,1094374,14177,7340,6386,243,56138,25555,163879,796573,2247,212,794,346,399,383,527,2656,2693,3939,2077,340,1919,3759,1792,129265,88899
48119,7534837,1162669,33521,138918,951,302950,147750,863539,4827747,8689,1002,2633,1611,1504,1851,987,3555,9261,9670,2647,2494,1308,7884,1696,884935,537795
48287,1834681,477236,7054,429,1288,170953,25890,297446,828049,2077,256,763,299,395,543,498,3262,4129,3146,909,1872,2624,2564,2999,214022,92348
48700,1598453,1253907,202,11916,543,84808,21243,151355,65318,272,52,344,102,60,226,102,602,684,518,974,2537,848,934,906,181379,7300
48379,342978,4208,1263,2295,76,9332,6136,16549,290716,799,84,167,100,90,104,199,1939,2009,1197,1078,81,1241,1694,1621,37711,32437
48499,2450386,254492,12549,25271,519,71585,28708,135022,1874530,4965,506,1298,812,556,738,946,4763,7512,7514,3620,1192,2210,7568,3510,273491,209171
48277,2254758,500552,23439,7274,632,39231,41676,84396,1523002,3862,421,713,554,429,467,661,4099,5739,5600,1343,1617,1733,5360,1958,250859,169899
48387,526638,166037,2793,97,172,9720,3422,25504,301103,1224,113,231,173,147,126,365,2346,2941,1736,427,652,1982,2687,2640,58494,33671
