fips,data
13113,315
13035,40
13151,208
13231,2
13255,9
13155,44
13077,116
13199,3
13285,33
13217,1
13247,37
13540,37
13099,107
13281,2
13009,3
13012,1
13031,1
13109,4
13267,4
13043,3
13209,1
13279,1
13131,4
13139,16
13111,160
13291,153
13137,165
13241,2
13311,4
13187,59
13011,167
13119,163
13157,313
13195,2
13213,2
13013,310
13257,162
13059,304
13219,307
13297,1
13211,1
13221,1
13181,1
13317,1
13295,2
13313,93
13055,1
13047,127
13073,4
13245,7
13033,1
13079,144
13153,150
13091,2
13175,2
13235,2
13169,2
13023,1
13093,1
13141,2
13237,2
13319,1
13159,1
13303,1
13215,39
13021,83
13103,72
13179,2
13183,1
13051,187
13029,1
13127,64
13001,4
13161,3
13305,1
13039,1
13101,2
13185,13
13027,11
13249,1
13261,1
13095,1
13177,1
13071,3
13275,3
13277,120
13019,37
13287,37
13145,2
12089,3
12019,136
12107,21
12109,267
12121,1
12031,319
12127,508
12035,18
12001,175
12065,7
12073,210
12129,4
12039,1
12037,2
12123,1
12005,109
12063,1
12091,38
12131,6
12033,200
12113,163
12003,36
12075,3
12007,1
12041,1
12117,409
12095,1230
12069,434
12097,264
12050,220
12009,743
12011,1599
12061,4
12025,1285
12086,1285
12014,3
12087,109
12026,3
12030,6
12099,583
12040,1
12055,44
12071,330
12051,2
12085,351
12057,803
12105,904
12101,524
12103,496
12081,10
12021,3
12015,195
12115,155
12053,125
12111,354
12093,130
1115,122
1117,99
1123,1
1027,1
1037,235
1121,113
1043,6
1095,11
1009,13
1073,448
1021,1
1127,2
1015,4
1023,1
1007,1
1125,4
1075,80
1107,4
1059,1
1093,80
1133,1
1079,76
1103,78
1083,5
1077,144
1033,45
1089,126
1049,6
1071,1
1055,11
1019,7
1005,6
1051,3
1101,20
1029,2
1111,1
1045,2
1031,2
1025,1
1097,407
1053,456
1003,555
1113,1
1087,5
1081,18
1017,15
47037,561
47187,411
47149,14
47125,9
47021,2
47147,4
47165,5
47043,2
47081,1
47010,2
47018,2
47189,8
47003,287
47117,404
47119,404
47065,283
47107,1
47011,6
47139,6
47031,4
47051,135
47103,132
47123,3
47061,1
47115,4
47153,4
47007,94
47127,2
47179,400
47163,3
47171,1
47173,1
47019,1
47057,1
47087,94
47093,491
47001,248
47089,475
